time,mac,strength
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-25
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-25
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-26
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-26
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-27
2016/08/20 09:10:00,d6:2f:cd:ac:eb:c4,-35
2016/08/20 09:10:04,d6:2f:cd:ac:eb:c4,-34
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-14
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-14
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:10:05,a8:9f:ba:2f:8e:f5,-22
2016/08/20 09:10:13,d6:2f:cd:ac:eb:c4,-36
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-13
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-14
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:10:24,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:10:31,aa:58:bd:98:fd:04,-39
2016/08/20 09:10:51,8e:77:58:5f:de:00,-41
2016/08/20 09:11:17,66:b9:2f:be:b8:f2,-42
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-13
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-13
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:22,a8:9f:ba:2f:8e:f5,-23
2016/08/20 09:11:23,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:32,c4:9a:02:7c:63:05,-32
2016/08/20 09:11:32,c4:9a:02:7c:63:05,-33
2016/08/20 09:11:32,c4:9a:02:7c:63:05,-36
2016/08/20 09:11:44,d8:55:a3:94:6b:06,-38
2016/08/20 09:11:49,00:ee:bd:e9:d9:a7,-46
2016/08/20 09:11:49,00:ee:bd:e9:d9:a7,-51
2016/08/20 09:11:52,c4:9a:02:7c:63:05,-36
2016/08/20 09:11:52,c4:9a:02:7c:63:05,-37
2016/08/20 09:11:52,c4:9a:02:7c:63:05,-37
2016/08/20 09:11:52,c4:9a:02:7c:63:05,-37
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-13
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-13
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:55,a8:9f:ba:2f:8e:f5,-23
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:11:56,a8:9f:ba:2f:8e:f5,-25
2016/08/20 09:12:03,f4:09:d8:a8:97:d5,-43
2016/08/20 09:12:03,f4:09:d8:a8:97:d5,-43
2016/08/20 09:12:06,a8:9f:ba:2f:8e:f5,-22
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-33
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-34
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-35
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-35
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-35
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-36
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-36
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-36
2016/08/20 09:12:07,90:b6:86:e6:8e:5c,-37
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-14
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-15
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-16
2016/08/20 09:12:07,a8:9f:ba:2f:8e:f5,-17
2016/08/20 09:12:24,ec:1f:72:bd:22:1b,-37
2016/08/20 09:12:24,ec:1f:72:bd:22:1b,-42
2016/08/20 09:12:24,ec:1f:72:bd:22:1b,-43
2016/08/20 09:12:24,ec:1f:72:bd:22:1b,-43
2016/08/20 09:12:28,c0:ee:fb:43:30:38,-42
2016/08/20 09:12:28,c0:ee:fb:43:30:38,-42
