time,mac,strength
2016/08/20 09:07:00,8c:7c:92:53:35:de,-35
2016/08/20 09:07:00,ec:9b:f3:90:85:7f,-43
2016/08/20 09:07:00,ec:9b:f3:90:85:7f,-44
2016/08/20 09:07:01,5c:70:a3:5a:ad:46,-43
2016/08/20 09:07:02,70:3e:ac:52:a9:1e,-36
2016/08/20 09:07:02,70:3e:ac:52:a9:1e,-37
2016/08/20 09:07:03,24:df:6a:2a:fc:1a,-41
2016/08/20 09:07:03,c2:c0:9e:24:b6:73,-31
2016/08/20 09:07:03,c2:c0:9e:24:b6:73,-33
2016/08/20 09:07:03,c2:c0:9e:24:b6:73,-35
2016/08/20 09:07:03,c2:c0:9e:24:b6:73,-36
2016/08/20 09:07:03,c2:c0:9e:24:b6:73,-39
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-33
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-33
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-34
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-34
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-34
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-34
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-34
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-35
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-35
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-36
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-36
2016/08/20 09:07:03,c4:9a:02:43:f3:b4,-36
2016/08/20 09:07:03,e8:50:8b:e3:e4:27,-34
2016/08/20 09:07:03,e8:50:8b:e3:e4:27,-37
2016/08/20 09:07:03,e8:50:8b:e3:e4:27,-40
2016/08/20 09:07:04,36:83:ed:bb:2c:c1,-38
2016/08/20 09:07:04,d6:9b:8c:62:3d:66,-34
2016/08/20 09:07:04,d6:9b:8c:62:3d:66,-36
2016/08/20 09:07:05,2c:5b:b8:49:72:fd,-42
2016/08/20 09:07:05,2e:e5:7b:dd:ef:28,-37
2016/08/20 09:07:05,a4:e4:b8:4a:fa:fa,-33
2016/08/20 09:07:05,a4:e4:b8:4a:fa:fa,-35
2016/08/20 09:07:05,a4:e4:b8:4a:fa:fa,-35
2016/08/20 09:07:05,a4:e4:b8:4a:fa:fa,-39
2016/08/20 09:07:06,5c:70:a3:5a:ad:46,-38
2016/08/20 09:07:06,5c:70:a3:5a:ad:46,-39
2016/08/20 09:07:06,5c:70:a3:5a:ad:46,-40
2016/08/20 09:07:06,70:3e:ac:52:a9:1e,-33
2016/08/20 09:07:06,70:3e:ac:52:a9:1e,-33
2016/08/20 09:07:06,70:3e:ac:52:a9:1e,-34
2016/08/20 09:07:06,70:3e:ac:52:a9:1e,-36
