Timestamp,Messages_per_sec,Latency, Message Transfer Rate
2018-10-16 21:24,48,0.0188,46651
2018-10-16 21:24,47,0.0191,45438
2018-10-16 21:24,47,0.0189,46131
2018-10-16 21:24,47,0.0192,45229
2018-10-16 21:25,46,0.0196,44427
2018-10-16 21:25,46,0.0194,44804
2018-10-16 21:25,45,0.0199,43834
2018-10-16 21:25,40,0.0226,40357
2018-10-16 21:25,24,0.0394,22911
2018-10-16 21:25,26,0.036,27241
2018-10-16 21:26,46,0.0194,45674
2018-10-16 21:26,48,0.0188,46172
2018-10-16 21:26,46,0.0193,44900
2018-10-16 21:26,47,0.0189,46225
2018-10-16 21:26,48,0.0186,46593
2018-10-16 21:26,47,0.0192,45224
2018-10-16 21:27,47,0.0193,45538
2018-10-16 21:27,47,0.019,45857
2018-10-16 21:27,47,0.0192,45260
2018-10-16 21:27,46,0.0195,45024
2018-10-16 21:27,47,0.0191,45704
2018-10-16 21:27,46,0.0195,44697
2018-10-16 21:28,45,0.0197,44244
2018-10-16 21:28,46,0.0197,44070
2018-10-16 21:28,46,0.0193,45002
